Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description
Settlement,Albany,,37.88687,-122.29774,0,13.25759,,World Update 10 USA
Settlement,Arlington,,48.18110,-122.13895,,15.65589,,World Update 10 USA
Settlement,Boise,,43.61662,-116.20089,,13.14304,,World Update 10 USA
Settlement,Charleston,,38.35060,-81.63328,,-7.93061,,World Update 10 USA
Settlement,Disney - Kissamme - Windermere,,28.29190,-81.40759,,-6.48057,,World Update 10 USA
Settlement,Eugene,,44.05051,-123.09505,,14.86623,,World Update 10 USA
Settlement,Key Largo,,25.08703,-80.44724,,-6.66483,,World Update 10 USA
Settlement,Lansing,,42.73377,-84.55538,,-6.51048,,World Update 10 USA
Settlement,Lynchburg,,37.41375,-79.14225,,-8.99474,,World Update 10 USA
Settlement,Olympia,,47.04510,-122.89500,,15.27912,,World Update 10 USA
Settlement,San Diego,,32.71742,-117.16277,,11.24940,,World Update 10 USA
Settlement,Seattle,,47.60621,-122.33207,,15.46945,,World Update 10 USA
Settlement,Bari,,41.11714,16.87187,,4.17545,,World Update 9 Italy and Malta
Settlement,Turin,,45.06330,7.66929,,2.70241,,World Update 9 Italy and Malta
Settlement,Napoli,,40.85180,14.26812,,3.85474,,World Update 9 Italy and Malta
Settlement,Venice,,45.43760,12.32865,,3.83112,,World Update 9 Italy and Malta
Settlement,Rome,,41.90278,12.49637,,3.61334,,World Update 9 Italy and Malta
Settlement,Milan,,45.46420,9.18998,,3.19627,,World Update 9 Italy and Malta
Settlement,Perugia,,43.11072,12.39083,,3.70298,,World Update 9 Italy and Malta
Settlement,Parma,,44.80148,10.32790,,3.35926,,World Update 9 Italy and Malta
Settlement,Ancona,,43.61583,13.51892,,3.90596,,World Update 9 Italy and Malta
Settlement,Pavia,,45.18472,9.15821,,3.22936,,World Update 9 Italy and Malta
Settlement,Cittadella,,45.66603,11.78662,,3.65370,,World Update 9 Italy and Malta
Settlement,Paestum,,40.42699,15.00504,,4.01552,,World Update 9 Italy and Malta
Settlement,Padua,,45.40643,11.87676,,3.60536,,World Update 9 Italy and Malta
Settlement,Lisbon,,38.72225,-9.13934,,-1.71932,,World Update 8
Settlement,Barreiro,,38.66082,-9.07907,,-1.72585,,World Update 8
Settlement,Malaga,,36.72126,-4.42127,,-0.21489,,World Update 8
Settlement,Bilbao,,43.26301,-2.93499,,0.26022,,World Update 8
Settlement,Cascais,,38.69706,-9.42229,,-1.76137,,World Update 8
Settlement,Coimbra,,40.20332,-8.41026,,-1.51759,,World Update 8
Settlement,Sydney,,-33.86882,151.20929,,12.87965,,World Update 7
